age	data
29	gut
56	gut
60	gut
59	gut
57	gut
63	gut
33	gut
63	gut
44	gut
83	gut
46	gut
46	gut
43	gut
42	gut
71	gut
25	gut
46	gut
44	gut
63	gut
37	gut
40	gut
52	gut
35	gut
70	gut
26	gut
58	gut
55	gut
54	gut
43	gut
66	gut
70	gut
29	gut
49	gut
58	gut
60	gut
49	gut
34	gut
27	gut
32	gut
45	gut
65	gut
55	gut
57	gut
62	gut
41	gut
30	gut
48	gut
44	gut
74	gut
28	gut
65	gut
60	gut
59	gut
46	gut
86	gut
31	gut
48	gut
74	gut
61	gut
40	gut
31	gut
86	gut
45	gut
39	gut
28	gut
57	gut
67	gut
44	gut
44	gut
42	gut
35	gut
52	gut
40	gut
33	gut
40	gut
63	gut
39	gut
69	gut
67	gut
65	gut
48	gut
41	gut
28	gut
53	gut
30	gut
30	gut
66	gut
29	gut
41	gut
36	gut
37	gut
40	gut
37	gut
40	gut
30	gut
28	gut
29	gut
19	gut
18	gut
73	gut
54	gut
76	gut
38	gut
36	gut
35	gut
45	gut
28	gut
30	gut
41	gut
62	gut
46	gut
59	gut
32	gut
55	gut
53	gut
69	gut
60	gut
36	gut
72	gut
56	gut
54	gut
48	gut
61	gut
59	gut
66	gut
55	gut
22	gut
49	gut
53	gut
45	gut
46	gut
51	gut
57	gut
29	gut
32	gut
47	gut
58	gut
80	gut
37	gut
41	gut
55	gut
51	gut
45	gut
52	gut
59	gut
39	gut
31	gut
33	gut
51	gut
56	gut
48	gut
69	gut
63	gut
53	gut
67	gut
45	gut
28	gut
49	gut
55	gut
63	gut
32	gut
37	gut
38	gut
39	gut
32	gut
32	gut
65	gut
35	gut
46	gut
44	gut
44	gut
63	gut
44	gut
32	gut
49	gut
45	gut
44	gut
37	gut
30	gut
4	gut
42	gut
31	gut
41	gut
35	gut
32	gut
45	gut
57	gut
48	gut
40	gut
29	gut
26	gut
28	gut
72	gut
57	gut
58	gut
37	gut
42	gut
41	gut
47	gut
40	gut
47	gut
25	gut
67	gut
65	gut
52	gut
50	gut
22	gut
36	gut
41	gut
51	gut
42	gut
13	gut
52	gut
45	gut
69	gut
35	gut
59	gut
40	gut
35	gut
44	gut
44	gut
65	gut
56	gut
41	gut
61	gut
76	gut
58	gut
41	gut
32	gut
34	gut
27	gut
32	gut
35	gut
45	gut
62	gut
44	gut
46	gut
39	gut
59	gut
66	gut
60	gut
74	gut
63	gut
58	gut
34	gut
34	gut
42	gut
72	gut
31	gut
32	gut
50	gut
33	gut
42	gut
36	gut
16	gut
33	gut
29	gut
72	gut
47	gut
43	gut
72	gut
44	gut
51	gut
32	gut
34	gut
38	gut
39	gut
29	gut
36	gut
62	gut
33	gut
33	gut
74	gut
65	gut
35	gut
61	gut
40	gut
45	gut
32	gut
61	gut
39	gut
29	gut
67	gut
51	gut
41	gut
31	gut
31	gut
52	gut
54	gut
40	gut
31	gut
29	gut
42	gut
52	gut
54	gut
61	gut
30	gut
30	gut
57	gut
46	gut
46	gut
47	gut
59	gut
15	gut
62	gut
30	gut
58	gut
34	gut
34	gut
53	gut
57	gut
42	gut
54	gut
58	gut
55	gut
65	gut
44	gut
51	gut
63	gut
41	gut
50	gut
40	gut
50	gut
71	gut
30	gut
42	gut
60	gut
45	gut
66	gut
43	gut
44	gut
43	gut
55	gut
52	gut
45	gut
33	gut
45	gut
63	gut
49	gut
48	gut
50	gut
36	gut
73	gut
58	gut
52	gut
41	gut
33	gut
28	gut
68	gut
27	gut
67	gut
39	gut
61	gut
60	gut
43	gut
27	gut
32	gut
59	gut
53	gut
67	gut
26	gut
62	gut
51	gut
41	gut
40	gut
44	gut
48	gut
73	gut
34	gut
65	gut
52	gut
30	gut
54	gut
36	gut
32	gut
37	gut
46	gut
29	gut
29	gut
49	gut
39	gut
62	gut
49	gut
61	gut
57	gut
41	gut
66	gut
36	gut
55	gut
58	gut
49	gut
31	gut
63	gut
31	gut
39	gut
3	gut
29	gut
45	gut
70	gut
27	gut
62	gut
39	gut
43	gut
51	gut
46	gut
46	gut
63	gut
36	gut
62	gut
60	gut
58	gut
52	gut
62	gut
55	gut
32	gut
68	gut
49	gut
39	gut
44	gut
66	gut
36	gut
35	gut
60	gut
30	gut
54	gut
24	gut
23	gut
53	gut
59	gut
25	gut
33	gut
53	gut
67	gut
52	gut
60	gut
56	gut
62	gut
50	gut
60	gut
55	gut
53	gut
51	gut
82	gut
51	gut
33	gut
42	gut
43	gut
68	gut
65	gut
57	gut
56	gut
53	gut
46	gut
66	gut
66	gut
67	gut
56	gut
31	gut
23	gut
54	gut
41	gut
39	gut
52	gut
80	gut
38	gut
32	gut
29	gut
34	gut
29	gut
41	gut
56	gut
51	gut
41	gut
57	gut
50	gut
28	gut
50	gut
31	gut
55	gut
45	gut
52	gut
45	gut
49	gut
68	gut
57	gut
36	gut
45	gut
59	gut
42	gut
59	gut
57	gut
51	gut
60	gut
60	gut
42	gut
44	gut
55	gut
46	gut
83	gut
48	gut
71	gut
70	gut
56	gut
37	gut
60	gut
55	gut
67	gut
30	gut
38	gut
46	gut
40	gut
60	gut
32	gut
62	gut
60	gut
60	gut
52	gut
52	gut
38	gut
55	gut
42	gut
58	gut
35	gut
33	gut
59	gut
56	gut
47	gut
49	gut
55	gut
72	gut
58	gut
44	gut
74	gut
34	gut
33	gut
55	gut
43	gut
74	gut
63	gut
68	gut
60	gut
52	gut
53	gut
66	gut
37	gut
58	gut
55	gut
28	gut
29	gut
71	gut
66	gut
47	gut
75	gut
59	gut
42	gut
57	gut
33	gut
38	gut
36	gut
34	gut
62	gut
59	gut
37	gut
36	gut
49	gut
61	gut
44	gut
65	gut
41	gut
38	gut
31	gut
55	gut
39	gut
65	gut
39	gut
58	gut
58	gut
48	gut
51	gut
34	gut
43	gut
34	gut
52	gut
33	gut
49	gut
46	gut
58	gut
72	gut
46	gut
64	gut
34	gut
69	gut
34	gut
35	gut
65	gut
75	gut
60	gut
52	gut
56	gut
49	gut
68	gut
52	gut
51	gut
28	gut
28	gut
67	gut
36	gut
38	gut
64	gut
41	gut
62	gut
70	gut
53	gut
61	gut
44	gut
63	gut
49	gut
49	gut
48	gut
61	gut
71	gut
36	gut
74	gut
66	gut
31	gut
70	gut
65	gut
44	gut
46	gut
75	gut
66	gut
37	gut
24	gut
29	gut
64	gut
54	gut
63	gut
34	gut
37	gut
41	gut
40	gut
58	gut
53	gut
31	gut
62	gut
59	gut
26	gut
47	gut
14	gut
37	gut
43	gut
35	gut
56	gut
68	gut
25	gut
41	gut
40	gut
65	gut
42	gut
41	gut
28	gut
47	gut
42	gut
41	gut
68	gut
28	gut
61	gut
62	gut
49	gut
39	gut
39	gut
31	gut
67	gut
42	gut
28	gut
36	gut
58	gut
50	gut
43	gut
35	gut
35	gut
33	gut
66	gut
47	gut
59	gut
69	gut
36	gut
80	gut
65	gut
28	gut
71	gut
66	gut
38	gut
58	gut
52	gut
60	gut
23	gut
67	gut
42	gut
39	gut
49	gut
42	gut
42	gut
50	gut
17	gut
14	gut
42	gut
29	gut
39	gut
67	gut
30	gut
35	gut
45	gut
49	gut
69	gut
37	gut
38	gut
63	gut
28	gut
64	gut
68	gut
48	gut
50	gut
36	gut
58	gut
41	gut
44	gut
37	gut
50	gut
60	gut
43	gut
28	gut
65	gut
54	gut
59	gut
41	gut
55	gut
39	gut
65	gut
35	gut
39	gut
56	gut
46	gut
40	gut
39	gut
75	gut
21	gut
52	gut
54	gut
34	gut
68	gut
54	gut
64	gut
52	gut
81	gut
27	gut
71	gut
32	gut
61	gut
33	gut
36	gut
35	gut
47	gut
53	gut
24	gut
55	gut
35	gut
56	gut
54	gut
79	gut
28	gut
53	gut
61	gut
28	gut
34	gut
33	gut
52	gut
63	gut
30	gut
63	gut
47	gut
34	gut
34	gut
69	gut
63	gut
43	gut
54	gut
60	gut
70	gut
33	gut
57	gut
32	gut
24	gut
36	gut
80	gut
61	gut
44	gut
40	gut
33	gut
53	gut
56	gut
57	gut
58	gut
33	gut
33	gut
23	gut
30	gut
21	gut
22	gut
57	gut
19	gut
52	gut
19	gut
20	gut
26	gut
31	gut
39	gut
51	gut
36	gut
56	gut
45	gut
5	gut
37	gut
45	gut
44	gut
31	gut
31	gut
62	gut
50	gut
75	gut
57	gut
42	gut
29	gut
48	gut
40	gut
58	gut
42	gut
30	gut
70	gut
56	gut
59	gut
24	gut
60	gut
50	gut
32	gut
64	gut
54	gut
38	gut
31	gut
44	gut
31	gut
56	gut
53	gut
57	gut
38	gut
54	gut
38	gut
41	gut
36	gut
29	gut
16	gut
43	gut
36	gut
12	gut
37	gut
38	gut
28	gut
32	gut
44	gut
37	gut
21	gut
50	gut
33	gut
61	gut
51	gut
37	gut
36	gut
